Resort Name,User Rating,Beginner,Intermediate,Advanced,Expert,Open Acreage
"New Hermon Mountain Maine, USALast Updated: 03/26Compare",2.68 Reviews,40%,30%,30%,0%,N/A
"Nordic Mountain Wisconsin, USALast Updated: 03/21Compare",3.121 Reviews,28%,28%,33%,11%,60ac
"Nordic Valley Resort Utah, USALast Updated: 04/04Compare",3.312 Reviews,36%,22%,36%,6%,N/A
"Northstar California California, USALast Updated: 04/19Compare",3.698 Reviews,13%,60%,27%,0%,N/A
"Norway Mountain Michigan, USALast Updated: 01/03Compare",3.218 Reviews,6%,33%,33%,28%,N/A
"Nubs Nob Ski Area Michigan, USALast Updated: 04/04Compare",3.250 Reviews,30%,50%,20%,0%,N/A
"Oak Mountain New York, USALast Updated: 03/22Compare",01 Reviews,45%,27%,18%,9%,N/A
"Ober Gatlinburg Ski Resort Tennessee, USALast Updated: 03/29Compare",3.048 Reviews,20%,60%,20%,0%,N/A
"Okemo Mountain Resort Vermont, USALast Updated: 04/04Compare",3.8138 Reviews,33%,38%,21%,9%,384ac
"Otis Ridge Ski Area Massachusetts, USALast Updated: 03/22Compare",2.87 Reviews,30%,40%,30%,0%,N/A
"Pajarito Mountain Ski Area New Mexico, USALast Updated: 03/26Compare",3.129 Reviews,20%,50%,30%,0%,N/A
"Paoli Peaks Indiana, USALast Updated: 03/08Compare",3.134 Reviews,47%,33%,13%,7%,N/A
"Park City Utah, USALast Updated: 04/12Compare",3.8151 Reviews,8%,41%,28%,23%,5022ac
"Pats Peak New Hampshire, USALast Updated: 03/29Compare",3.245 Reviews,50%,21%,11%,18%,110ac
"Pebble Creek Ski Area Idaho, USALast Updated: 04/05Compare",3.228 Reviews,12%,35%,43%,10%,N/A
"Peek'n Peak New York, USALast Updated: 03/28Compare",3.363 Reviews,30%,45%,15%,10%,N/A
"Perfect North Slopes Indiana, USALast Updated: 03/14Compare",3.277 Reviews,20%,50%,20%,10%,N/A
"Pico Mountain  Vermont, USALast Updated: 04/04Compare",3.433 Reviews,16%,44%,36%,3%,190ac
"Pine Knob Ski Resort Michigan, USALast Updated: 03/17Compare",3.115 Reviews,20%,20%,40%,20%,N/A
"Pine Mountain Michigan, USALast Updated: 03/28Compare",3.450 Reviews,100%,0%,0%,0%,N/A
"Plattekill Mountain New York, USALast Updated: 03/29Compare",3.232 Reviews,20%,40%,20%,20%,N/A
"Pomerelle Mountain Resort Idaho, USALast Updated: 04/04Compare",3.130 Reviews,40%,40%,20%,0%,N/A
